"nameCompany","streetAddress","postalCode","addressLocality","column1"
"Kaufland Görlitz-Königshufen","Scultetusstr. 24","02828","Görlitz-Königshufen","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Finsterwalde","Sonnewalder Str. 100","03238","Finsterwalde","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Lutherstadt Wittenberg","Lerchenbergstr. 112-113","06886","Lutherstadt Wittenberg","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Spremberg","An der Lusatia 1","03130","Spremberg","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Weißwasser","Sachsendamm 30","02943","Weißwasser","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Cottbus-Madlow","Hardenbergstr. 5","03050","Cottbus-Madlow","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Lübbenau","Am Kaufland 2","03222","Lübbenau Spreewald","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Cottbus-Schmellwitz","Sielower Chaussee 38","03044","Cottbus","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Forst","Promenade 2","03149","Forst","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Guben, Kaltenborner Str.","Kaltenborner Str. 68","03172","Guben","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Guben, Fried.-Schiller-Str","Friedrich-Schiller-Str. 5 b","03172","Guben","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Luckenwalde","Burg 22","14943","Luckenwalde","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Linthe","Dorfstr. 29","14822","Linthe","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Zossen","Stubenrauchstr. 60a","15806","Zossen","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Ludwigsfelde","Potsdamer Str. 51-53","14974","Ludwigsfelde","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Werder (Havel), Werderpark","Auf dem Strengfeld 6","14542","Werder (Havel)","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Brandenburg, EKZ Wust","An Der Bundesstr. 1","14776","Brandenburg/Havel","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Potsdam-Waldstadt","Am Moosfenn 1","14478","Potsdam","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Potsdam-West","Zeppelinstr. 132","14471","Potsdam-West","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Königs Wusterhausen","Wiesenstr. 7","15711","Königs Wusterhausen","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Potsdam-Innenstadt","Babelsberger Str. 16","14473","Potsdam","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Blankenfelde-Mahlow","Am Lückefeld 97","15831","Blankenfelde-Mahlow","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Teltow","Potsdamer Str. 6-8","14513","Teltow","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Berlin Goerzallee","Goerzallee 195","14167","Berlin-Lichterfelde","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Berlin-Marienfelde","Buckower Chaussee 100-102","12277","Berlin-Marienfelde","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Berlin Ostpreußendamm","Ostpreußendamm 60","12207","Berlin-Lichterfelde","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Berlin Gropius Passagen","Johannisthaler Chaussee 295-327","12351","Berlin-Gropiusstadt","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Berlin-Britz","Gutschmidtstr. 19","12359","Berlin-Britz","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Eisenhüttenstadt","Fährstr. 35","15890","Eisenhüttenstadt","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Berlin-Schöneberg","Bessemerstr. 57-75","12103","Berlin-Schöneberg","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Berlin-Adlershof","Rudower Chaussee 12","12489","Berlin-Adlershof","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Rathenow, Milower Landstr.","Milower Landstr. 6 a","14712","Rathenow","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Berlin-Tempelhof","Schöneberger Str. 7","12103","Berlin-Tempelhof","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Berlin-Niederschöneweide","Schnellerstr. 21","12439","Berlin","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Fürstenwalde, Alte Langew.","Alte Langewahler Chaussee 11","15517","Fürstenwalde","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Rathenow, Schwedendamm","Schwedendamm 3","14712","Rathenow","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Dallgow-Döberitz","Döberitzer Weg 3","14624","Dallgow","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Berlin-Köpenick","Friedrichshagener Str. 38-42","12555","Berlin-Köpenick","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Berlin-Wilhelmstadt","Wilhelmstr. 21-25","13593","Berlin-Wilhelmstadt","https://www.meinprospekt.de/filialen/kaufland/1"
