OBJECTID,mifcode,strecke_nr,richtung,laenge,von_km_i,bis_km_i,von_km_l,bis_km_l,elektrifiz,bahnnutzun,geschwindi,strecke_ku,gleisanzah,bahnart,kmspru_typ,kmspru_t00,Shape__Length,Shape__Length_2
2247,xka_mrk_830,4713,1,2,100100035,100100037,1.0 +    35,1.0 +    37,Oberleitung,S-Bahn,ab 50 bis 100 km/h,Stg-Bad Cannstatt - Waiblingen,zweigleisig,Hauptbahn,Fehllänge ankommend,Fehllänge ankommend,,
2248,xka_mrk_830,6348,0,255,100280024,100300079,"2,8 + 24","3,0 + 79",Oberleitung,Gz-Bahn,bis 50 km/h,Halle Gbf Am - Peißen,eingleisig,Hauptbahn, , ,,
2249,xka_mrk_830,2340,0,103,99999969,100000073,"-0,0 + -30","0,0 + 73",Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,Abzw Mühlenberg - Trompet,eingleisig,Hauptbahn, , ,,
2250,xka_mrk_830,2992,0,20017,115820000,117820000,"158,2 + 0","178,2 + 0",Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Löhne - Rheine,zweigleisig,Hauptbahn, , ,,
2251,xka_mrk_830,2992,0,20017,115820000,117820000,"158,2 + 0","178,2 + 0",Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Löhne - Rheine,zweigleisig,Hauptbahn, , ,,
2252,xka_mrk_830,6002,0,780,101420000,101490080,14.2 +     0,"14,9 + 80",Stromschiene,S-Bahn,ab 50 bis 100 km/h,Berlin Nordbf Strw - Bernau,zweigleisig,Hauptbahn,Überlängenende, ,,
2253,xka_mrk_830,6348,0,3435,100300079,100650014,"3,0 + 79","6,5 + 14",Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,Halle Gbf Am - Peißen,eingleisig,Hauptbahn, , ,,
2254,xka_mrk_830,5351,0,236,100540070,100560000,"5,4 + 70",5.6 +     0,nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Günzburg - Mindelheim,eingleisig,Nebenbahn, ,Überlängenende,,
2255,xka_mrk_830,1042,0,0,104600073,104610027,46.0 +    73,46.1 +    27,nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Neumünster - Heide,eingleisig,Nebenbahn,Fehllänge ankommend,Fehllänge abgehend,,
2256,xka_mrk_830,2992,0,600,117820000,117880000,"178,2 + 0","178,8 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Löhne - Rheine,zweigleisig,Hauptbahn, , ,,
2257,xka_mrk_830,6348,0,52,100650014,100650066,"6,5 + 14","6,5 + 66",Oberleitung,Gz-Bahn,bis 50 km/h,Halle Gbf Am - Peißen,eingleisig,Hauptbahn, , ,,
2258,xka_mrk_830,6002,0,7704,101490080,102260077,"14,9 + 80","22,6 + 77",Stromschiene,S-Bahn,ab 50 bis 100 km/h,Berlin Nordbf Strw - Bernau,eingleisig,Hauptbahn, , ,,
2259,xka_mrk_830,2340,0,1127,100000073,100120000,"0,0 + 73","1,2 + 0",Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,Abzw Mühlenberg - Trompet,zweigleisig,Hauptbahn, , ,,
2260,xka_mrk_830,4713,1,0,100100037,100100050,1.0 +    37,1.0 +    50,Oberleitung,S-Bahn,ab 50 bis 100 km/h,Stg-Bad Cannstatt - Waiblingen,zweigleisig,Hauptbahn,Fehllänge ankommend,Fehllänge abgehend,,
2261,xka_mrk_830,4020,0,0,103120094,103130025,31.2 +    94,31.3 +    25,Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Mannheim - Rastatt,zweigleisig,Hauptbahn,Fehllänge ankommend,Fehllänge abgehend,,
2262,xka_mrk_830,6349,0,865,100000035,100090000,"0,0 + 35","0,9 + 0",Oberleitung,Gz-Bahn,bis 50 km/h,Halle Gbf - Halle Leuchtturm,eingleisig,Hauptbahn, , ,,
2263,xka_mrk_830,5351,0,600,100560000,100620000,5.6 +     0,"6,2 + 0",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Günzburg - Mindelheim,eingleisig,Nebenbahn,Überlängenende, ,,
2264,xka_mrk_830,2992,0,60,117880000,117880060,"178,8 + 0","178,8 + 60",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Löhne - Rheine,zweigleisig,Hauptbahn, , ,,
2265,xka_mrk_830,1042,0,1740,104610027,104780067,46.1 +    27,"47,8 + 67",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Neumünster - Heide,eingleisig,Nebenbahn,Fehllänge abgehend, ,,
2266,xka_mrk_830,6003,0,507,100150000,100200007,"1,5 + 0","2,0 + 7",Stromschiene,S-Bahn, ,Berlin Ostbf - Berlin Ostkreuz,zweigleisig,Hauptbahn, , ,,
2267,xka_mrk_830,5351,0,3111,100620000,100930015,"6,2 + 0","9,3 + 15",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Günzburg - Mindelheim,eingleisig,Nebenbahn, , ,,
2268,xka_mrk_830,1042,0,273,104780067,104810040,"47,8 + 67","48,1 + 40",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Neumünster - Heide,eingleisig,Nebenbahn, , ,,
2269,xka_mrk_830,6349,0,900,100090000,100180000,"0,9 + 0","1,8 + 0",Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,Halle Gbf - Halle Leuchtturm,eingleisig,Hauptbahn, , ,,
2270,xka_mrk_830,5351,0,1187,100930015,101050002,"9,3 + 15","10,5 + 2",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Günzburg - Mindelheim,eingleisig,Nebenbahn, , ,,
2271,xka_mrk_830,1042,0,410,104810040,104850050,"48,1 + 40","48,5 + 50",nicht elektrifiziert,Pz/Gz-Bahn,bis 50 km/h,Neumünster - Heide,eingleisig,Nebenbahn, , ,,
2272,xka_mrk_830,4020,0,2373,103130025,103360098,31.3 +    25,"33,6 + 98",Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Mannheim - Rastatt,zweigleisig,Hauptbahn,Fehllänge abgehend, ,,
2273,xka_mrk_830,2993,0,669,108450052,108520021,"84,5 + 52","85,2 + 21",Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,"Löhne, W 19 - W 291",eingleisig,Hauptbahn, , ,,
2274,xka_mrk_830,6349,0,370,100180000,100210070,"1,8 + 0","2,1 + 70",Oberleitung,Gz-Bahn,bis 50 km/h,Halle Gbf - Halle Leuchtturm,eingleisig,Hauptbahn, , ,,
2275,xka_mrk_830,2340,0,900,100120000,100210000,"1,2 + 0","2,1 + 0",Oberleitung,Gz-Bahn,bis 50 km/h,Abzw Mühlenberg - Trompet,zweigleisig,Hauptbahn, , ,,
2276,xka_mrk_830,4713,1,2450,100100050,100350000,1.0 +    50,"3,5 + 0",Oberleitung,S-Bahn,ab 50 bis 100 km/h,Stg-Bad Cannstatt - Waiblingen,zweigleisig,Hauptbahn,Fehllänge abgehend, ,,
2277,xka_mrk_830,6004,0,81,99979999,99989980,"-0,2 + -0","-0,1 + -19",Stromschiene,S-Bahn,ab 50 bis 100 km/h,Berlin Ostbf - Erkner,zweigleisig,Hauptbahn, , ,,
2278,xka_mrk_830,5351,0,798,101050002,101130000,"10,5 + 2","11,3 + 0",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Günzburg - Mindelheim,eingleisig,Nebenbahn, , ,,
2279,xka_mrk_830,1042,0,7750,104850050,105630000,"48,5 + 50","56,3 + 0",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Neumünster - Heide,eingleisig,Nebenbahn, , ,,
2280,xka_mrk_830,4713,1,100,100350000,100360000,"3,5 + 0","3,6 + 0",Oberleitung,S-Bahn,ab 50 bis 100 km/h,Stg-Bad Cannstatt - Waiblingen,zweigleisig,Hauptbahn, , ,,
2281,xka_mrk_830,6349,0,448,100210070,100260018,"2,1 + 70","2,6 + 18",Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,Halle Gbf - Halle Leuchtturm,eingleisig,Hauptbahn, , ,,
2282,xka_mrk_830,5351,0,187,101130000,101140087,"11,3 + 0","11,4 + 87",nicht elektrifiziert,Pz/Gz-Bahn,bis 50 km/h,Günzburg - Mindelheim,eingleisig,Nebenbahn, , ,,
2283,xka_mrk_830,4020,0,745,103360098,103440043,"33,6 + 98","34,4 + 43",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Mannheim - Rastatt,zweigleisig,Hauptbahn, , ,,
2284,xka_mrk_830,6350,0,606,99999952,100050059,"-0,0 + -47","0,5 + 59",Oberleitung,Gz-Bahn,bis 50 km/h,Halle Gbf - Abzw Kasseler Bahn,eingleisig,Hauptbahn, , ,,
2285,xka_mrk_830,2993,0,2129,108520021,108730050,"85,2 + 21",87.3 +    50,Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,"Löhne, W 19 - W 291",eingleisig,Hauptbahn, ,Fehllänge ankommend,,
2286,xka_mrk_830,6004,0,209,99989980,100000090,"-0,1 + -19","0,0 + 90",Stromschiene,S-Bahn,bis 50 km/h,Berlin Ostbf - Erkner,zweigleisig,Hauptbahn, , ,,
2287,xka_mrk_830,2340,0,4155,100210000,100620055,"2,1 + 0","6,2 + 55",Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,Abzw Mühlenberg - Trompet,zweigleisig,Hauptbahn, , ,,
2288,xka_mrk_830,1042,0,5552,105630000,106180052,"56,3 + 0","61,8 + 52",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Neumünster - Heide,eingleisig,Nebenbahn, , ,,
2289,xka_mrk_830,2342,0,2542,100000043,100250086,"0,0 + 43","2,5 + 86",Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,KR-Uerdingen - Abzw Mühlenberg,eingleisig,Hauptbahn, , ,,
2290,xka_mrk_830,1042,0,848,106180052,106270000,"61,8 + 52","62,7 + 0",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Neumünster - Heide,eingleisig,Nebenbahn, , ,,
2291,xka_mrk_830,4020,0,316,103440043,103470059,"34,4 + 43","34,7 + 59",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Mannheim - Rastatt,eingleisig,Hauptbahn, , ,,
2292,xka_mrk_830,4713,1,3800,100360000,100740000,"3,6 + 0","7,4 + 0",Oberleitung,S-Bahn,ab 100 bis 120 km/h,Stg-Bad Cannstatt - Waiblingen,zweigleisig,Hauptbahn, , ,,
2293,xka_mrk_830,5351,0,313,101140087,101180000,"11,4 + 87","11,8 + 0",nicht elektrifiziert,Pz/Gz-Bahn,bis 50 km/h,Günzburg - Mindelheim,eingleisig,Nebenbahn, , ,,
2294,xka_mrk_830,1042,0,201,106270000,106290001,"62,7 + 0","62,9 + 1",nicht elektrifiziert,Pz/Gz-Bahn,bis 50 km/h,Neumünster - Heide,eingleisig,Nebenbahn, , ,,
2295,xka_mrk_830,6004,0,400,100000090,100040090,"0,0 + 90","0,4 + 90",Stromschiene,S-Bahn,ab 50 bis 100 km/h,Berlin Ostbf - Erkner,zweigleisig,Hauptbahn, , ,,
2296,xka_mrk_830,6004,0,1928,100040090,100240018,"0,4 + 90","2,4 + 18",Stromschiene,S-Bahn,ab 50 bis 100 km/h,Berlin Ostbf - Erkner,zweigleisig,Hauptbahn, , ,,
2297,xka_mrk_830,2993,0,0,108730050,108730069,87.3 +    50,87.3 +    69,Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,"Löhne, W 19 - W 291",eingleisig,Hauptbahn,Fehllänge ankommend,Fehllänge abgehend,,
2298,xka_mrk_830,5351,0,3600,101180000,101540000,"11,8 + 0","15,4 + 0",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Günzburg - Mindelheim,eingleisig,Nebenbahn, , ,,
2299,xka_mrk_830,6004,0,3,100240018,100240021,"2,4 + 18","2,4 + 21",Stromschiene,S-Bahn,ab 50 bis 100 km/h,Berlin Ostbf - Erkner,zweigleisig,Hauptbahn, , ,,
2300,xka_mrk_830,2400,0,200,100050000,100070000,"0,5 + 0","0,7 + 0",Oberleitung,S-Bahn,ab 50 bis 100 km/h,Düsseldorf - Hagen,zweigleisig,Hauptbahn, , ,,
2301,xka_mrk_830,5351,0,460,101540000,101580060,"15,4 + 0","15,8 + 60",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Günzburg - Mindelheim,eingleisig,Nebenbahn, , ,,
2302,xka_mrk_830,4720,0,179,99969942,99989921,"-0,3 + -57","-0,1 + -78",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Untertürkheim - Kornwestheim,eingleisig,Hauptbahn, , ,,
2303,xka_mrk_830,4020,0,2630,103470059,103730089,"34,7 + 59",37.3 +    89,Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Mannheim - Rastatt,eingleisig,Hauptbahn, ,Fehllänge ankommend,,
2304,xka_mrk_830,2993,0,271,108730069,108760040,87.3 +    69,"87,6 + 40",Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,"Löhne, W 19 - W 291",eingleisig,Hauptbahn,Fehllänge abgehend, ,,
2305,xka_mrk_830,5351,0,40,101580060,101590000,"15,8 + 60","15,9 + 0",nicht elektrifiziert,Pz/Gz-Bahn,bis 50 km/h,Günzburg - Mindelheim,eingleisig,Nebenbahn, , ,,
2306,xka_mrk_830,1043,0,893,107440027,107530020,"74,4 + 27","75,3 + 20",nicht elektrifiziert,Gz-Bahn,bis 50 km/h,Neumünster - Bad Oldesloe,eingleisig,Hauptbahn, , ,,
2307,xka_mrk_830,6004,0,75,100240021,100240096,"2,4 + 21","2,4 + 96",Stromschiene,S-Bahn,bis 50 km/h,Berlin Ostbf - Erkner,zweigleisig,Hauptbahn, , ,,
2308,xka_mrk_830,5351,0,2512,101590000,101840013,"15,9 + 0","18,4 + 13",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Günzburg - Mindelheim,eingleisig,Nebenbahn, , ,,
2309,xka_mrk_830,2400,0,269,100070000,100090069,"0,7 + 0","0,9 + 69",Oberleitung,S-Bahn,ab 50 bis 100 km/h,Düsseldorf - Hagen,zweigleisig,Hauptbahn, , ,,
2310,xka_mrk_830,3000,0,1497,99989901,100120099,"-0,1 + -98","1,2 + 99",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Remagen - Adenau,eingleisig,Nebenbahn, , ,,
2311,xka_mrk_830,6004,0,872,100240096,100330068,"2,4 + 96","3,3 + 68",Stromschiene,S-Bahn,ab 50 bis 100 km/h,Berlin Ostbf - Erkner,zweigleisig,Hauptbahn, , ,,
2312,xka_mrk_830,1043,0,12904,107850000,109140000,"78,5 + 0","91,4 + 0",nicht elektrifiziert,Gz-Bahn,ab 100 bis 120 km/h,Neumünster - Bad Oldesloe,eingleisig,Hauptbahn, , ,,
2313,xka_mrk_830,3000,0,524,100120099,100180023,"1,2 + 99","1,8 + 23",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Remagen - Adenau,zweigleisig,Nebenbahn, , ,,
2314,xka_mrk_830,6350,0,1532,100050059,100200086,"0,5 + 59","2,0 + 86",Oberleitung,Gz-Bahn,bis 50 km/h,Halle Gbf - Abzw Kasseler Bahn,zweigleisig,Hauptbahn, , ,,
2315,xka_mrk_830,5351,0,1287,101840013,101970000,"18,4 + 13","19,7 + 0",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Günzburg - Mindelheim,eingleisig,Nebenbahn, , ,,
2316,xka_mrk_830,4020,0,0,103730089,103740000,37.3 +    89,37.4 +     0,Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Mannheim - Rastatt,eingleisig,Hauptbahn,Fehllänge ankommend,Fehllänge abgehend,,
2317,xka_mrk_830,4720,0,463,99989921,100020085,"-0,1 + -78","0,2 + 85",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Untertürkheim - Kornwestheim,eingleisig,Hauptbahn, , ,,
2318,xka_mrk_830,5351,0,1700,101970000,102140000,"19,7 + 0","21,4 + 0",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Günzburg - Mindelheim,eingleisig,Nebenbahn, , ,,
2319,xka_mrk_830,1043,0,300,109140000,109170000,"91,4 + 0","91,7 + 0",nicht elektrifiziert,Gz-Bahn,ab 100 bis 120 km/h,Neumünster - Bad Oldesloe,eingleisig,Hauptbahn, , ,,
2320,xka_mrk_830,6350,0,1863,100200086,100390049,"2,0 + 86","3,9 + 49",Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,Halle Gbf - Abzw Kasseler Bahn,zweigleisig,Hauptbahn, , ,,
2321,xka_mrk_830,4720,1,868,100020085,100110055,"0,2 + 85","1,1 + 55",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Untertürkheim - Kornwestheim,zweigleisig,Hauptbahn, , ,,
2322,xka_mrk_830,2400,0,2536,100090069,100350005,"0,9 + 69","3,5 + 5",Oberleitung,S-Bahn,ab 100 bis 120 km/h,Düsseldorf - Hagen,zweigleisig,Hauptbahn, , ,,
2323,xka_mrk_830,6004,0,232,100330068,100360000,"3,3 + 68","3,6 + 0",Stromschiene,S-Bahn,ab 50 bis 100 km/h,Berlin Ostbf - Erkner,zweigleisig,Hauptbahn, , ,,
2324,xka_mrk_830,1043,0,6100,109170000,109780000,"91,7 + 0","97,8 + 0",nicht elektrifiziert,Gz-Bahn,ab 100 bis 120 km/h,Neumünster - Bad Oldesloe,eingleisig,Hauptbahn, , ,,
2325,xka_mrk_830,3000,0,777,100180023,100260000,"1,8 + 23",2.6 +     0,nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Remagen - Adenau,zweigleisig,Nebenbahn, ,Überlängenanfang,,
2326,xka_mrk_830,6350,0,615,100390049,100450064,"3,9 + 49","4,5 + 64",Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,Halle Gbf - Abzw Kasseler Bahn,zweigleisig,Hauptbahn, , ,,
2327,xka_mrk_830,6351,0,463,99999976,100040040,"-0,0 + -23","0,4 + 40",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Abzw Thüringer Bahn - Kanena,eingleisig,Hauptbahn, , ,,
2328,xka_mrk_830,2400,0,3394,100350005,100690000,"3,5 + 5","6,9 + 0",Oberleitung,S-Bahn,ab 50 bis 100 km/h,Düsseldorf - Hagen,zweigleisig,Hauptbahn, , ,,
2329,xka_mrk_830,2400,0,2294,100730000,100960000,"7,3 + 0",9.6 +     0,Oberleitung,S-Bahn,ab 50 bis 100 km/h,Düsseldorf - Hagen,zweigleisig,Hauptbahn, ,Überlängenanfang,,
2330,xka_mrk_830,4020,0,800,103740000,103820000,37.4 +     0,"38,2 + 0",Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Mannheim - Rastatt,eingleisig,Hauptbahn,Fehllänge abgehend, ,,
2331,xka_mrk_830,5351,0,100,102140000,102150000,"21,4 + 0","21,5 + 0",nicht elektrifiziert,Pz/Gz-Bahn,bis 50 km/h,Günzburg - Mindelheim,eingleisig,Nebenbahn, , ,,
2332,xka_mrk_830,4800,1,15,100010026,100010041,"0,1 + 26","0,1 + 41",Oberleitung,Pz/Gz-Bahn, ,Stuttgart - Bretten,zweigleisig,Hauptbahn, , ,,
2333,xka_mrk_830,1043,0,1600,109780000,109940000,"97,8 + 0","99,4 + 0",nicht elektrifiziert,Gz-Bahn,ab 50 bis 100 km/h,Neumünster - Bad Oldesloe,eingleisig,Hauptbahn, , ,,
2334,xka_mrk_830,3000,0,253,100260000,100280000,2.6 +     0,2.8 +     0,nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Remagen - Adenau,zweigleisig,Nebenbahn,Überlängenanfang,Überlängenende,,
2335,xka_mrk_830,6004,0,245,100360000,100380045,"3,6 + 0",3.8 +    45,Stromschiene,S-Bahn,ab 50 bis 100 km/h,Berlin Ostbf - Erkner,zweigleisig,Hauptbahn, ,Fehllänge ankommend,,
2336,xka_mrk_830,6351,0,2497,100040040,100290037,"0,4 + 40","2,9 + 37",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Abzw Thüringer Bahn - Kanena,eingleisig,Hauptbahn, , ,,
2337,xka_mrk_830,5351,0,1700,102150000,102320000,"21,5 + 0","23,2 + 0",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Günzburg - Mindelheim,eingleisig,Nebenbahn, , ,,
2338,xka_mrk_830,4800,1,909,100010041,100100050,"0,1 + 41","1,0 + 50",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Stuttgart - Bretten,zweigleisig,Hauptbahn, , ,,
2339,xka_mrk_830,2400,0,470,100960000,100970070,9.6 +     0,9.7 +    70,Oberleitung,S-Bahn,ab 50 bis 100 km/h,Düsseldorf - Hagen,zweigleisig,Hauptbahn,Überlängenanfang,Überlängenende,,
2340,xka_mrk_830,4020,0,2178,103820000,104030078,"38,2 + 0","40,3 + 78",Oberleitung,Pz/Gz-Bahn,ab 160 bis 200 km/h,Mannheim - Rastatt,eingleisig,Hauptbahn, , ,,
2341,xka_mrk_830,4800,1,113,100100050,100110063,"1,0 + 50","1,1 + 63",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Stuttgart - Bretten,zweigleisig,Hauptbahn, , ,,
2342,xka_mrk_830,5351,0,1775,102320000,102490075,"23,2 + 0","24,9 + 75",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Günzburg - Mindelheim,eingleisig,Nebenbahn, , ,,
2343,xka_mrk_830,6352,0,3726,100280042,100650068,"2,8 + 42","6,5 + 68",Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,Abzw Thüring Bahn - Ammendorf,eingleisig,Hauptbahn, , ,,
2344,xka_mrk_830,4020,0,15723,104030078,105610000,"40,3 + 78","56,1 + 0",Oberleitung,Pz/Gz-Bahn,ab 160 bis 200 km/h,Mannheim - Rastatt,zweigleisig,Hauptbahn, , ,,
2345,xka_mrk_830,3000,0,4900,100280000,100770000,2.8 +     0,"7,7 + 0",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Remagen - Adenau,zweigleisig,Nebenbahn,Überlängenende, ,,
2346,xka_mrk_830,6004,0,0,100380045,100390048,3.8 +    45,3.9 +    48,Stromschiene,S-Bahn,ab 50 bis 100 km/h,Berlin Ostbf - Erkner,zweigleisig,Hauptbahn,Fehllänge ankommend,Fehllänge abgehend,,
2347,xka_mrk_830,4800,1,1611,100110063,100270074,"1,1 + 63","2,7 + 74",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Stuttgart - Bretten,zweigleisig,Hauptbahn, , ,,
2348,xka_mrk_830,5351,0,125,102490075,102510000,"24,9 + 75","25,1 + 0",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Günzburg - Mindelheim,eingleisig,Nebenbahn, , ,,
2349,xka_mrk_830,6353,0,572,100420085,100480053,"4,2 + 85","4,8 + 53",Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,Abzw Kasseler Bahn - Ammendorf,eingleisig,Hauptbahn, , ,,
2350,xka_mrk_830,4020,0,3300,105610000,105940000,"56,1 + 0","59,4 + 0",Oberleitung,Pz/Gz-Bahn,ab 160 bis 200 km/h,Mannheim - Rastatt,zweigleisig,Hauptbahn, , ,,
2351,xka_mrk_830,1043,0,2903,109940000,110230000,"99,4 + 0","102,3 + 0",nicht elektrifiziert,Gz-Bahn,ab 50 bis 100 km/h,Neumünster - Bad Oldesloe,eingleisig,Hauptbahn, , ,,
2352,xka_mrk_830,2400,0,330,100970070,101010000,9.7 +    70,"10,1 + 0",Oberleitung,S-Bahn,ab 50 bis 100 km/h,Düsseldorf - Hagen,zweigleisig,Hauptbahn,Überlängenende, ,,
2353,xka_mrk_830,5351,0,2000,102510000,102710000,"25,1 + 0","27,1 + 0",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Günzburg - Mindelheim,eingleisig,Nebenbahn, , ,,
2354,xka_mrk_830,4800,1,1526,100270074,100430000,"2,7 + 74","4,3 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Stuttgart - Bretten,zweigleisig,Hauptbahn, , ,,
2355,xka_mrk_830,3000,0,1100,100770000,100880000,"7,7 + 0","8,8 + 0",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Remagen - Adenau,zweigleisig,Nebenbahn, , ,,
2356,xka_mrk_830,4800,1,800,100430000,100510000,"4,3 + 0","5,1 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Stuttgart - Bretten,zweigleisig,Hauptbahn, , ,,
2357,xka_mrk_830,6353,0,1492,100480053,100630045,"4,8 + 53","6,3 + 45",Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,Abzw Kasseler Bahn - Ammendorf,eingleisig,Hauptbahn, , ,,
2358,xka_mrk_830,6004,0,692,100390048,100460040,3.9 +    48,"4,6 + 40",Stromschiene,S-Bahn,ab 50 bis 100 km/h,Berlin Ostbf - Erkner,zweigleisig,Hauptbahn,Fehllänge abgehend, ,,
2359,xka_mrk_830,4020,0,1000,105940000,106040000,"59,4 + 0","60,4 + 0",Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Mannheim - Rastatt,zweigleisig,Hauptbahn, , ,,
2360,xka_mrk_830,3000,0,3300,100880000,101210000,"8,8 + 0","12,1 + 0",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Remagen - Adenau,zweigleisig,Nebenbahn, , ,,
2361,xka_mrk_830,6004,0,237,100460040,100480077,"4,6 + 40","4,8 + 77",Stromschiene,S-Bahn,ab 50 bis 100 km/h,Berlin Ostbf - Erkner,zweigleisig,Hauptbahn, , ,,
2362,xka_mrk_830,5351,0,423,102710000,102740123,"27,1 + 0","27,4 + 123",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Günzburg - Mindelheim,eingleisig,Nebenbahn, , ,,
2363,xka_mrk_830,6354,0,2861,100000000,100280061,"0,0 + 0","2,8 + 61",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Wörmlitz Abzw - Ammendorf,eingleisig,Hauptbahn, , ,,
2364,xka_mrk_830,3000,0,599,101210000,101270000,"12,1 + 0","12,7 + 0",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Remagen - Adenau,zweigleisig,Nebenbahn, , ,,
2365,xka_mrk_830,2400,0,700,101010000,101080000,"10,1 + 0","10,8 + 0",Oberleitung,S-Bahn,ab 50 bis 100 km/h,Düsseldorf - Hagen,zweigleisig,Hauptbahn, , ,,
2366,xka_mrk_830,6004,0,297,100480077,100510074,"4,8 + 77","5,1 + 74",Stromschiene,S-Bahn,ab 50 bis 100 km/h,Berlin Ostbf - Erkner,zweigleisig,Hauptbahn, , ,,
2367,xka_mrk_830,4800,1,31,100510000,100510031,"5,1 + 0","5,1 + 31",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Stuttgart - Bretten,zweigleisig,Hauptbahn, , ,,
2368,xka_mrk_830,4020,0,493,106040000,106080093,"60,4 + 0","60,8 + 93",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Mannheim - Rastatt,zweigleisig,Hauptbahn, , ,,
