OBJECTID,mifcode,strecke_nr,richtung,laenge,von_km_i,bis_km_i,von_km_l,bis_km_l,elektrifiz,bahnnutzun,geschwindi,strecke_ku,gleisanzah,bahnart,kmspru_typ,kmspru_t00,Shape__Length,Shape__Length_2
12937,xka_mrk_830,6325,2,100,111390000,111400000,"113,9 + 0","114,0 + 0",Oberleitung,Pz/Gz-Bahn,ab 100 bis 120 km/h,Neustrelitz - Warnemünde,zweigleisig,Hauptbahn, , ,,
12938,xka_mrk_830,4850,0,8008,103440000,104240000,"34,4 + 0","42,4 + 0",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Pforzheim - Hochdorf,eingleisig,Hauptbahn, , ,,
12939,xka_mrk_830,5734,0,4816,100190044,100670060,"1,9 + 44","6,7 + 60",nicht elektrifiziert,Pz/Gz-Bahn,bis 50 km/h,Abzw Hufschlag - Waging,eingleisig,Nebenbahn, , ,,
12940,xka_mrk_830,3710,0,114,99969985,99979999,"-0,3 + -14","-0,2 + -0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Wetzlar - Koblenz,zweigleisig,Hauptbahn, , ,,
12941,xka_mrk_830,6300,0,219,103660000,103670091,36.6 +     0,36.7 +    91,Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Sangerhausen - Erfurt Hbf,eingleisig,Hauptbahn,Überlängenanfang,Überlängenende,,
12942,xka_mrk_830,2732,0,922,110350009,110440031,"103,5 + 9","104,4 + 31",Oberleitung,Gz-Bahn, ,Gruiten - Wuppertal-Vohwinkel,eingleisig,Hauptbahn, , ,,
12943,xka_mrk_830,6867,0,1502,99989997,100140000,"-0,1 + -2","1,4 + 0",Oberleitung,Pz/Gz-Bahn,bis 50 km/h,Blankenburg - Michaelstein,eingleisig,Nebenbahn, , ,,
12944,xka_mrk_830,2733,0,685,110350015,110420000,"103,5 + 15","104,2 + 0",Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,"Gruiten - W-Vohwinkel, W 15",eingleisig,Hauptbahn, , ,,
12945,xka_mrk_830,6340,2,1200,100500000,100620000,"5,0 + 0","6,2 + 0",Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Halle - Baunat. Guntershausen,zweigleisig,Hauptbahn, , ,,
12946,xka_mrk_830,1760,0,141,117920000,117930041,"179,2 + 0","179,3 + 41",Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Hannover - Soest,zweigleisig,Hauptbahn, , ,,
12947,xka_mrk_830,5734,0,180,100670060,100690040,"6,7 + 60","6,9 + 40",nicht elektrifiziert,Pz/Gz-Bahn,bis 50 km/h,Abzw Hufschlag - Waging,eingleisig,Nebenbahn, , ,,
12948,xka_mrk_830,4850,0,2807,104240000,104520007,"42,4 + 0","45,2 + 7",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Pforzheim - Hochdorf,eingleisig,Hauptbahn, , ,,
12949,xka_mrk_830,2733,0,4497,110420000,110860097,"104,2 + 0","108,6 + 97",Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,"Gruiten - W-Vohwinkel, W 15",eingleisig,Hauptbahn, , ,,
12950,xka_mrk_830,1760,0,1494,117930041,118080035,"179,3 + 41","180,8 + 35",Oberleitung,Pz/Gz-Bahn,ab 100 bis 120 km/h,Hannover - Soest,zweigleisig,Hauptbahn, , ,,
