"nameCompany","streetAddress","postalCode","addressLocality","column2"
"Aleco Buchholz","Hamburger str. 8","21244","Buchholz",
"Aleco Bremen-Lesum","Hindenburgstr. 36","28717","Bremen",
"Aleco Zeven","Auf Dem Quabben 2","27404","Zeven",
"Aleco Osterholz-Scharmbeck","Marktplatz 1","27711","Osterholz-Scharmbeck",
"Belindas Bioladen","Neugrabener Markt 1","21149","Hamburg",
"Tjaden´s Bio Frischemarkt","Bahnhofstr. 40","21629","Neu Wulmstorf",
"Naturkost Am Hafen","Am Hafen 1","21614","Buxtehude",
"Tjaden´s Bio Frischemarkt","Alter Steinweg 13","20459","Hamburg",
"Tjaden´s Bio Frischemarkt","Friedensallee 275","22763","Hamburg",
"Tjaden´s Bio Frischemarkt","Fruchtallee 136","20259","Hamburg",
