"nameCompany","streetAddress","postalCode","addressLocality"
"Total","Bodenbacher Str. 64","01277","Dresden"
"Total","Hamburger Str. 44","01067","Dresden"
"Total","Hamburger Str. 44","01067","Dresden"
"Total","Lohmener Str. 12C","01796","Pirna"
"Total","Lohmener Str. 12C","01796","Pirna"
"Total","Luetzner Str. 7B","04177","Leipzig"
"Total","Luetzner Str. 7B","04177","Leipzig"
"Total","Schomburgkstr. 8","04179","Leipzig"
"Total","Schomburgkstr. 8","04179","Leipzig"
"Total","Sangerhaeuser Straße","06556","Artern"
"Total","Sangerhaeuser Straße","06556","Artern"
"Total","Dresdner Str. 49","01156","Dresden"
"Total","Dresdner Str. 49","01156","Dresden"
"Total","Sandberg 30","04178","Leipzig/Rückmarsdorf"
"Total","Sandberg 30","04178","Leipzig/Rückmarsdorf"
"Total","Querfurter Str. 4A","06217","Merseburg"
"Total","Querfurter Str. 4A","06217","Merseburg"
"Total","Hueblerstr. 36","01309","Dresden"
"Total","Hueblerstr. 36","01309","Dresden"
"Total","Ludwig-Erhard-Str. 36","04103","Leipzig"
"Total","Ludwig-Erhard-Str. 36","04103","Leipzig"
"Total","Schuetzenstr. 1","01662","Meissen"
"Total","Schuetzenstr. 1","01662","Meissen"
"Total","Bautzner Str. 72","01099","Dresden"
"Total","Bautzner Str. 72","01099","Dresden"
"Total","Weintraubenstr. 31","01445","Radebeul"
"Total","Weintraubenstr. 31","01445","Radebeul"
"Total","Riesaer Str. 74","04328","Leipzig"
"Total","Riesaer Str. 74","04328","Leipzig"
"Total","Meissner Str. 41","01623","Lommatzsch"
"Total","Meissner Str. 41","01623","Lommatzsch"
"Total","Rackwitzer Str. 26","04347","Leipzig"
"Total","Rackwitzer Str. 26","04347","Leipzig"
"Total","Grundstr. 99","01326","Dresden"
"Total","Grundstr. 99","01326","Dresden"
"Total","Koenigsbruecker Str. 104","01099","Dresden"
"Total","Koenigsbruecker Str. 104","01099","Dresden"
"Total","Lindenthaler Str. 61","04155","Leipzig"
"Total","Lindenthaler Str. 61","04155","Leipzig"
"Total","Max-Liebermann-Str. 11","04159","Leipzig"
"Total","Max-Liebermann-Str. 11","04159","Leipzig"
"Total","Torgauer Str. 279","04347","Leipzig"
"Total","Torgauer Str. 279","04347","Leipzig"
"Total","Dresdener Str. 95","04758","Oschatz"
"Total","Dresdener Str. 95","04758","Oschatz"
"Total","Autohof A 14 Poststr. 3","04158","Leipzig"
"Total","Autohof A 14 Poststr. 3","04158","Leipzig"
"Total","Merseburger Str. 359","06132","Halle"
"Total","Merseburger Str. 359","06132","Halle"
"Total","Autohof Am Mittelfeld 5","06526","Sangerhausen-Oberroeblingen"
"Total","Autohof Am Mittelfeld 5","06526","Sangerhausen-Oberroeblingen"
"Total","Koenigsbruecker Landstr. 265","01108","Dresden"
"Total","Koenigsbruecker Landstr. 265","01108","Dresden"
"Total","Leipziger Str. 12","01589","Riesa"
"Total","Leipziger Str. 12","01589","Riesa"
"Total","Nordring 4","06536","Suedharz"
"Total","Nordring 4","06536","Suedharz"
"Total","Platz Drei Lilien 5","06124","Halle"
"Total","Platz Drei Lilien 5","06124","Halle"
"Total","An Der Magistrale 2","06124","Halle"
"Total","An Der Magistrale 2","06124","Halle"
"Total","Delitzscher Str. 36","06112","Halle"
"Total","Delitzscher Str. 36","06112","Halle"
"Total","Kupferhuette 7","06526","Sangerhausen"
"Total","Kupferhuette 7","06526","Sangerhausen"
"Total","W.-Kaulisch-Str. 49","01844","Neustadt"
"Total","W.-Kaulisch-Str. 49","01844","Neustadt"
"Total","Kloetzer Str. 12A","01587","Riesa"
"Total","Kloetzer Str. 12A","01587","Riesa"
"Total","Lauchhammerstr. 12","01591","Riesa"
"Total","Lauchhammerstr. 12","01591","Riesa"
"Total","Dresdner Str. 53","01458","Ottendorf-Okrilla"
"Total","Dresdner Str. 53","01458","Ottendorf-Okrilla"
"Total","Hallesche Str. 151","06295","Lutherstadt Eisleben"
"Total","Hallesche Str. 151","06295","Lutherstadt Eisleben"
"Total","Roedgener Str. 3","04838","Eilenburg"
"Total","Roedgener Str. 3","04838","Eilenburg"
"Total","Kasseler Str. 49","06295","Eisleben"
"Total","Kasseler Str. 49","06295","Eisleben"
"Total","Trothaer Str. 40","06118","Halle"
"Total","Trothaer Str. 40","06118","Halle"
"Total","Am Autohof 1","06188","Landsberg"
"Total","Am Autohof 1","06188","Landsberg"
"Total","Duebener Str. 133","04509","Delitzsch"
"Total","Duebener Str. 133","04509","Delitzsch"
"Total","Hauptstr. 36","01877","Rammenau"
"Total","Hauptstr. 36","01877","Rammenau"
"Total","Bautzener Str. 121","01877","Bischofswerda"
"Total","Bautzener Str. 121","01877","Bischofswerda"
"Total","Kamenzer Str. 27","01561","Thiendorf"
"Total","Kamenzer Str. 27","01561","Thiendorf"
"Total","An Der Aeuss. Weberstr. 87","02763","Zittau"
"Total","An Der Aeuss. Weberstr. 87","02763","Zittau"
