"nameCompany","streetAddress","postalCode","addressLocality"
"ALDI SÜD","Kaiserswerther Str. 409","40474","Düsseldorf"
"ALDI SÜD","Heerdter Landstr. 115","40549","Düsseldorf"
"ALDI SÜD","Kieshecker Weg 100","40468","Düsseldorf"
"ALDI SÜD","Normannenstr. 6","41462","Neuss"
"ALDI SÜD","Kölner Str. 26a","41363","Jüchen"
"ALDI SÜD","Hessenweg 23","40667","Meerbusch"
"ALDI SÜD","Rehhecke 78","40885","Ratingen"
"ALDI SÜD","Niederrheinstr. 158-166","40474","Düsseldorf"
"ALDI SÜD","Königsberger Str. 7","41564","Kaarst"
"ALDI SÜD","Humboldtring 5 (RRZ)","45472","Mülheim an der Ruhr"
"ALDI SÜD","Zum Regiopark 26","41363","Jüchen"
"ALDI SÜD","Werdener Weg 29","45470","Mülheim"
"ALDI SÜD","Wiescher Weg 76-80","45472","Mülheim"
"ALDI SÜD","Ludwig-Erhard-Str. 1","41564","Kaarst"
"ALDI SÜD","Essener Str. 46/48","45470","Mülheim an der Ruhr"
"ALDI SÜD","Püllenweg 12","41352","Korschenbroich"
"ALDI SÜD","Matthias-Hoerenplatz 1-7","41352","Korschenbroich"
"ALDI SÜD","Düsseldorfer Str. 190","45481","Mülheim"
"Aldi Süd","Hans-Böckler-Pl. 1-31","45468","Mülheim an der Ruhr"
"ALDI SÜD","Uhlandstr. 8","45468","Mülheim"
"ALDI SÜD","Konstantinstr. 30","41238","Mönchengladbach"
"Aldi Süd","Karlstr.","41199","Mönchengladbach"
"ALDI SÜD","Gottlieb-Daimler-Str. 1","40670","Meerbusch"
"ALDI SÜD","Stapper Weg 10","41199","Mönchengladbach"
"ALDI SÜD","Großenbaumer Allee 99-107","47269","Duisburg"
"ALDI SÜD","Katzemer Str. 2 d","41812","Erkelenz"
"ALDI SÜD","Odenkirchener Straß 300","41236","Mönchengladbach"
"ALDI SÜD","Beckrather Str. 65","41189","Mönchengladbach"
"ALDI SÜD","Hansastr. 22","45478","Mülheim"
"ALDI SÜD","Hauptstr. 278","41236","Mönchengladbach"
"Aldi Süd","Hauptstr. 278","41238","Mönchengladbach"
"ALDI SÜD","Mannesmannallee 32-34","45475","Mülheim a. d. Ruhr-Dümpten"
"ALDI SÜD","Markt 10","41236","Mönchengladbach"
"Aldi Süd","Mittelstr. 27","41236","Mönchengladbach"
"ALDI SÜD","Mündelheimer Str. 173","47259","Duisburg"
"ALDI SÜD","Beim Knevelshof 25-27","47249","Duisburg"
"ALDI SÜD","Heidestr. 15","45476","Mülheim"
"ALDI SÜD","Hofstr. 126","41065","Mönchengladbach"
"ALDI SÜD","Adam-Opel-Str. 20","41812","Erkelenz"
"ALDI SÜD","Gungstr. 1","46240","Bottrop"
"ALDI SÜD","Mellinghofer Str. 63","46047","Oberhausen"
"ALDI SÜD","Rolandstr. 25","46045","Oberhausen"
"ALDI SÜD","Am Südring-Center 3","46242","Bottrop"
"Aldi Süd","Am Südring-Center","46236","Bottrop"
"Aldi Süd","Viktoria Str. 55","41061","Mönchengladbach"
"ALDI SÜD","Sternbuschweg 61","47057","Duisburg"
"ALDI SÜD","Kulturstr. 37","47055","Duisburg"
"ALDI SÜD","Krefelder Str. 70","41061","Mönchengladbach"
"ALDI SÜD","Tonderner Str. 33","41066","Mönchengladbach"
"Aldi Süd","Krefelder Str. 70","41063","Mönchengladbach"
"ALDI SÜD","Kommandantenstr. 19","47057","Duisburg"
"ALDI SÜD","Bebelstr. 246","46049","Oberhausen"
"ALDI SÜD","Gladbacher Str. 25-27","41844","Wegberg"
"ALDI SÜD","Am Minto 3","41061","Mönchengladbach"
"ALDI SÜD","Geusenstr. 20","41179","Mönchengladbach"
"ALDI SÜD","Horster Str. 54","46236","Bottrop"
"ALDI SÜD","Stahlwerk-Becker-Str. 15","47877","Willich"
"ALDI SÜD","Bruchfeld 2","47809","Krefeld"
"ALDI SÜD","Bröseweg 36","41063","Mönchengladbach"
"ALDI SÜD","Concordiastr. 32","46049","Oberhausen"
"ALDI SÜD","Kölner Str. 456-458","47807","Krefeld"
"ALDI SÜD","Hafelsstr. 249","47809","Krefeld"
"ALDI SÜD","Kruppstr. 51","47229","Duisburg"
"ALDI SÜD","Bottroper Str. 100","46117","Oberhausen"
"ALDI SÜD","Aakerfährstr. 50","47058","Duisburg"
"ALDI SÜD","Wörthstr. 130","47053","Duisburg"
"Aldi Süd","Langebendstr.","47877","Willich"
"ALDI SÜD","Helmut-Grashoff-Str. 2","41179","Mönchengladbach"
"ALDI SÜD","Duisburger Str. 531/535","46049","Oberhausen"
"ALDI SÜD","Lange Str. 65","47829","Krefeld"
"ALDI SÜD","Monschauer Str. 42","41068","Mönchengladbach"
"ALDI SÜD","Parkhofstr. 51","41836","Hückelhoven"
"Aldi Süd","Parkhofstraße 51 ","41836","Hückelhoven"
"ALDI SÜD","Gladbecker Str. 260 - 262","46240","Bottrop"
"Aldi Süd","Friedrich-Alfred-Str. 66","47226","Duisburg"
"ALDI SÜD","Schönwasserstr. 8-10","47809","Krefeld"
"ALDI SÜD","Lindenallee 50-50b","47226","Duisburg"
"ALDI SÜD","Friedrich-Ebert-Str. 36","47119","Duisburg"
"ALDI SÜD","Neue Ritterstr. 33","47805","Krefeld"
"ALDI SÜD","Auf der Höhe 99","47059","Duisburg"
"ALDI SÜD","Kochstr. 46","47805","Krefeld"
"ALDI SÜD","Saumstr. 5-8","47805","Krefeld"
"ALDI SÜD","Homberger Str. 21-25b","47228","Duisburg"
"ALDI SÜD","Varziner Str. 8","47138","Duisburg"
"ALDI SÜD","Flutweg 125","47228","Duisburg"
"ALDI SÜD","Bahnhofstr. 80","46145","Oberhausen"
"ALDI SÜD","Rathausallee 25","47239","Duisburg"
"ALDI SÜD","Nauenweg 74","47804","Krefeld"
"ALDI SÜD","Dorstener Str. 531","46119","Oberhausen"
"ALDI SÜD","Auf dem Damm 84","47137","Duisburg"
"ALDI SÜD","Lehrer Str. 75","47167","Duisburg"
"ALDI SÜD","Gahlingspfad 1","47803","Krefeld"
"ALDI SÜD","Am Bahnhof 9","41844","Wegberg"
"ALDI SÜD","Kirchhellener Str. 140","46145","Oberhausen"
"ALDI SÜD","Weierstr. 72","46149","Oberhausen"
"ALDI SÜD","Moerser Str. 2a","47198","Duisburg"
"ALDI SÜD","Luchsstr. 1","46149","Oberhausen"
"ALDI SÜD","Düsseldorfer Str. 332-338","47447","Moers"
"ALDI SÜD","Jakob-Krebs-Str. 122","47877","Willich"
"ALDI SÜD","Schlachthofstr. 36","47167","Duisburg"
"ALDI SÜD","Mühlenstr. 135","47918","Tönisvorst"
"ALDI SÜD","Kleinewefersstr. 50","47803","Krefeld"
"ALDI SÜD","Duisburger Str. 232","47166","Duisburg"
"ALDI SÜD","Tomper Weg 75","41169","Mönchengladbach"
"Aldi Süd","Freiheitsstr.","41747","Viersen"
"ALDI SÜD","August-Bebel-Platz 20","47169","Duisburg-Marxloh"
"ALDI SÜD","Höhenhöfe 33","47918","Tönisvorst"
"ALDI SÜD","Siegesstr. 142","46147","Oberhausen"
"ALDI SÜD","Hauptstr. 66","46244","Bottrop"
"ALDI SÜD","Tenterstr. 6","46147","Oberhausen"
"ALDI SÜD","Franz-Haniel-Str. 90","47443","Moers"
"ALDI SÜD","Weilerstr. 61-65","41849","Wassenberg"
"ALDI SÜD","Süchtelner Str. 179","41747","Viersen"
"ALDI SÜD","Bahnhofstr. 17","47447","Moers"
"ALDI SÜD","Uerdinger Str. 67","47441","Moers"
"Aldi Süd","Viersener Str.","41751","Viersen"
"ALDI SÜD","Baustr. 27","47441","Moers"
"ALDI SÜD","Josef-Heinrichs-Str. 25","47839","Krefeld"
"ALDI SÜD","Friedrich-Ebert-Str. 243","47179","Duisburg"
"ALDI SÜD","Dieselstr. 1","46539","Dinslaken"
"ALDI SÜD","Industriestr. 3","41366","Schwalmtal"
"ALDI SÜD","Grefrather Str. 69","41749","Viersen"
"ALDI SÜD","Orsoyer Allee 1b","47445","Moers"
"ALDI SÜD","Franz-Lenze-Platz 46 a","47178","Duisburg"
"ALDI SÜD","Andreas-Bräm-Str. 47","47506","Neukirchen-Vluyn"
"ALDI SÜD","Hans-Böckler-Str. 19","46535","Dinslaken"
"ALDI SÜD","Drennesweg 3","47445","Moers"
"ALDI SÜD","Am Dreßlerhof 1","47506","Neukirchen-Vluyn"
"ALDI SÜD","Bahnstr. 6","47906","Kempen"
"ALDI SÜD","Hessenring 25","47906","Kempen"
"ALDI SÜD","Augustastr. 199","46537","Dinslaken"
"ALDI SÜD","Gewerbering 25","41372","Niederkrüchten"
"ALDI SÜD","Am Weidenbusch 2","47929","Grefrath"
"ALDI SÜD","Süchtelner Str. 40","41334","Nettetal"
"ALDI SÜD","Marellenkämpe 6","46514","Schermbeck"
"ALDI SÜD","Borner Str. 56","41379","Brüggen"
"ALDI SÜD","Josefstr. 71","41334","Nettetal"
"ALDI SÜD","Rosental 32","41334","Nettetal"
"ALDI SÜD","Bahnhofstr. 145a","46562","Voerde"
"ALDI SÜD","Bürgermeister-Schmelzing-Str. 93-101","47475","Kamp-Lintfort"
