"nameCompany","streetAddress","postalCode","addressLocality"
"Sparda-Bank","Brückenstr. 8","34212","Melsungen"
"Sparda-Bank","Schloßstr. 2","35745","Herborn"
"Sparda-Bank","Marktplatz 20","34560","Fritzlar"
"Sparda-Bank","Maibachstr. 3","35683","Dillenburg"
"Sparda-Bank","Heinrich-Hertz-Str. 103","34123","Kassel"
"SB-Sparda-Bank","Leipziger Str. 128","34123","Kassel"
"Sparda-Bank","Marktplatz 1a","34225","Baunatal"
"SB-Sparda-Bank","Frankfurter Str. 128","34121","Kassel"
"SB-Sparda-Bank","Karlsplatz","34117","Kassel"
"SB-Sparda-Bank","Mauerstr. 1","34117","Kassel"
"Sparda-Bank","Friedrich-Ebert-Str. 4","34117","Kassel"
"Sparda-Bank","Wilhelmshöher Allee 262","34131","Kassel-Atrium"
"Sparda-Bank","Blumenäckerweg 21","34117","Kassel"
"SB-Sparda-Bank","Lange Wender 7","34246","Vellmar"
"Sparda-Bank","Rathausplatz 5","34128","Vellmar"
"Sparda-Bank","Groner Str. 24","37073","Göttingen"
"SB-Sparda-Bank","Bahnhofstr. 30","34369","Hofgeismar"
"Sparda-Bank","Breite Str. 1","37154","Northeim"
"Sparda-Bank","Breite Str. 84","38640","Goslar"
"Sparda-Bank","Otto-von-Guericke-Str. 50","39104","Magdeburg"
"Sparda-Bank","Am Alten Theater 2","39104","Magdeburg"
"SB-Sparda-Bank","Bahnhofstr. 25a","33102","Paderborn"
"Sparda-Bank","Bahnhofstr. 5","33102","Paderborn"
"Sparda-Bank","Hannoversche Straße 7","31134","Hildesheim"
"Sparda-Bank","Willy-Brandt-Platz 3","32756","Detmold"
"Sparda-Bank","Ritterbrunnen 1","38100","Braunschweig"
"Sparda-Bank","Emmernstr. 12","31785","Hameln"
"Sparda-Bank","Berliner Str. 83-85","33330","Gütersloh"
"Sparda-Bank","Porschestr. 35","38440","Wolfsburg"
"Sparda-Bank","Hauptstr. 120","33647","Bielefeld"
"Sparda-Bank","Bahnhofstr. 40","33602","Bielefeld"
"SB-Sparda-Bank","Herforder Str. 110-114","33602","Bielefeld"
"SB-Sparda-Bank","Burgdorfer Str. 29","31275","Lehrte"
"SB-Sparda-Bank","Lindemannallee 21","30179","Hannover"
"Sparda-Bank","Brüderstraße 38","32052","Herford"
"SB-Sparda-Bank","Marktstr. 45","30159","Hannover"
"SB-Sparda-Bank","Davenstedter Str. 80","30453","Hannover"
"Sparda-Bank","Ernst-August-Platz 8","30159","Hannover"
"Sparda-Bank","Lister Meile 89","30161","Hannover"
"SB-Sparda-Bank","Hannoversche Str. 77","30926","Seelze-Letter"
"Sparda-Bank","Ostpassage 9","30853","Langenhagen"
"Sparda-Bank","Markt 11","39576","Stendal"
"Sparda-Bank","Bäckerstraße 74/76","32423","Minden"
"SB-Sparda-Bank","Industriestr. 1","31515","Wunstorf"
"SB-Center Der Sparda-Bank West eG","Ringelstr. 2","42897","Remscheid Lennep"
"Sparda-Bank West eG","Alleestr. 90","42853","Remscheid Innenstadt"
"Sparda-Bank West eG","Hauptstr. 56","42651","Solingen"
"SB-Center Der Sparda-Bank West eG","Rosenau 32","42277","Wuppertal Barmen"
"Sparda-Bank West eG","Werth 65","42275","Wuppertal Barmen"
"SB-Center Der Sparda-Bank West eG","Mauerstr. 14","42285","Wuppertal"
"Sparda-Bank West eG","Düsseldorfer Str. 43","42697","Solingen Ohligs"
"Immobilienfinanzcenter Sparda-Bank West eG","Bankstr. 3","42103","Wuppertal Elberfeld"
"SB-Center Der Sparda-Bank West","Schüruferstr. 285","44287","Dortmund"
"Sparda-Bank West eG","Kaiserstr. 24","42329","Wuppertal Vohwinkel"
"SB-Center Der Sparda-Bank West eG","Hochdahler Str. 127","40127","Hilden"
"SB-Center Der Sparda-Bank West eG","Strobelallee 50","44139","Dortmund Mitte"
"SB-Sparda-Bank","Südwall 13-15","44137","Dortmund"
"Sparda-Bank West eG","Hansastr. 95","44137","Dortmund"
"Sparda-Bank West eG","Börchemstr. 35","40597","Düsseldorf Benrath"
"Sparda-Bank","Freistuhl 7","44137","Dortmund"
"SB-Center Der Sparda-Bank West eG","Zur Fliethe 8","42489","Wülfrath"
"SB-Center Der Sparda-Bank West eG","Bonsfelder Str. 85","42555","Velbert Langenberg"
"SB-Sparda-Bank","Universitätsstr. 117","44801","Bochum"
"Sparda-Bank","Bebelstr. 65","44532","Lünen"
"Sparda Bank West eG","Friedrichstr. 140","42551","Velbert Mitte"
"SB-Sparda-Bank","Kurt-Schumacher-Platz 3","44787","Bochum"
"Sparda-Bank West eG","Ludwig-Erhard-Allee 15","40227","Düsseldorf Oberbilk"
"Sparda-Bank","Grabenstr. 14","44787","Bochum"
"Sparda-Bank West eG","Friedrichstr. 20-22","40217","Düsseldorf Friedrichstadt"
"Sparda-Bank West eG","Breite Str. 8-10","41515","Grevenbroich Widdeshoven"
"Sparda-Bank West eG","Stadttor 1","40219","Düsseldorf Unterbilk"
"SB-Center Der Sparda-Bank West","Platz Des Landtags 1","40221","Düsseldorf"
"Sparda-Bank West eG","Marktplatz 9","40213","Düsseldorf Altstadt"
"Sparda-Bank West eG","Nordstr. 85","40477","Düsseldorf Pempelfort"
"SB-Center Der Sparda-Bank West eG","Brückstr. 12","45239","Essen Werden"
"Sparda-Bank West eG","Bochumer Str. 24","45276","Essen Steele"
"SB-Center Der Sparda-Bank West eG","Am Sandbach 30","40878","Ratingen"
"Sparda-Bank West eG","Kapitelstr. 16","41460","Neuss Mitte"
"Sparda-Bank","Bahnhofstr. 44","44623","Herne"
"Sparda-Bank","Wanner Str. 6-8","44649","Herne"
"Sparda-Bank West eG","Willy-Brandt-Platz 8","45127","Essen Stadtkern"
"Sparda-Bank","Kruppstr. 41","45127","Essen"
"Sparda-Bank West eG","Kruppstr. 41","45128","Essen Südviertel"
"SB-Center Der Sparda-Bank West","Kennedyplatz 9-11","45127","Essen"
"Sparda-Bank","Von-Oven-Str. 6-8","45879","Gelsenkirchen"
"SB-Center Der Sparda-Bank West eG","Segerothstr. 73","45127","Essen Zentrum"
"SB-Center Der Sparda-Bank West eG","Altendorfer Str. 129","45127","Essen Altendorf"
"Sparda-Bank West eG","Kaiserswerther Markt 35","40489","Düsseldorf Kaiserswerth"
"SB-Sparda-Bank","Münsterstr. 1","48231","Warendorf"
"SB-Center Der Sparda-Bank West eG","Düsseldorfer Str. 98","45481","Mülheim An Der Ruhr Saarn"
"SB-Center Der Sparda-Bank West eG","Altenessener Str. 411","45329","Essen"
"Sparda-Bank West eG","Eppinghofer Str. 50","45468","Mülheim An Der Ruhr Mitte"
"SB-Center Der Sparda-Bank West","Schloßstr. 24","45468","Mülheim"
"Sparda-Bank West eG","Marktstr. 21","45355","Essen Borbeck-Mitte"
"Sparda-Bank West eG","Kurfürstenwall 1-3","45657","Recklinghausen Mitte"
"SB-Center Der Sparda-Bank West eG","Hermann-Grothe-Str. 29","47279","Duisburg Wedau"
"Sparda-Bank West eG","Wedauer Markt 11-13","47279","Duisburg Wedau"
"SB-Center Der Sparda-Bank West eG","Masurenallee 33","47055","Duisburg Neudorf-Süd"
"SB-Center Der Sparda-Bank West eG","Am Südring-Center 5","46242","Bottrop Zentrum"
"Sparda-Bank","De-la-Chevallerie-Str. 21","45894","Gelsenkirchen"
"Sparda-Bank West eG","Langemarkstr. 24","46045","Oberhausen Altstadt-Mitte"
"SB-Center Der Sparda-Bank West eG","Centroallee 1000","46047","Oberhausen"
"Sparda-Bank West eG","Bismarckstr. 100","41061","Mönchengladbach Stadtmitte"
"Sparda-Bank West eG","Kammerstr. 6","47057","Duisburg Neudorf-Süd"
"SB-Center Der Sparda-Bank West eG","Hansastr. 15","47058","Duisburg Duissern"
"Sparda-Bank West eG","Bottroper Str. 168","46117","Oberhausen Osterfeld-West"
"Sparda-Bank West eG","Düsseldorfer Str. 23-25","47051","Duisburg Innenstadt"
"SB-Sparda-Bank","Westfalenstr. 124-126","48165","Münster"
"SB-Center Der Sparda-Bank West","Barkhausstr. 11","45768","Marl"
"Sparda-Bank West eG","Königstr. 91-93","47798","Krefeld Mitte"
"SB-Sparda-Bank","Bahnhofstr. 60a","46145","Oberhausen"
"SB-Sparda-Bank","Weseler Str. 383","48163","Münster"
"Sparda-Bank West eG","Hauptstr. 137-139","41747","Viersen Mitte"
"SB-Sparda-Bank","Weseler Str. 212","48151","Muenster"
"Sparda-Bank","Merschstr. 11","45721","Haltern"
"SB-Sparda-Bank","Berliner Platz 31","48143","Münster"
"SB-Sparda-Bank","Berliner Platz 21","48143","Münster"
"Sparda-Bank","Königsstr. 51-53","48143","Münster"
"Sparda-Bank","Joseph-König-Str. 3","48147","Münster"
"Sparda-Bank West eG","Neumarkt 11","47441","Moers Mitte"
"SB-Sparda-Bank","Roxeler Str. 416-420","48165","Münster"
"Sparda-Bank","Gartenbreie 1","48161","Münster-Gievenbeck"
"SB-Sparda-Bank","Schiffahrter Damm 506","48157","Muenster"
"SB-Sparda-Bank","Steinfurter Str. 166","48149","Münster"
"SB-Sparda-Bank","Auf dem Quellberg 18","48565","Dülmen"
"SB-Sparda-Bank","Hannoversche Str. 20","49084","Osnabrueck"
"SB-Sparda-Bank","Theodor-Heuss-Platz","49074","Osnabrück"
"SB-Sparda-Bank","Natruper Str. 166","49090","Osnabrück"
"Sparda-Bank","Kleine Viehstr. 14","48653","Coesfeld"
"Sparda-Bank","Wilhelmstr. 5-7","46483","Wesel"
"SB-Sparda-Bank","Borghorster Str. 16","48231","Emsdetten"
"SB-Sparda-Bank","Lechtestr. 6","48565","Steinfurt"
"Sparda-Bank","Kanalstr. 4","49477","Ibbenbüren"
"SB-Sparda-Bank","Carl-Benz-Str. 2","48565","Steinfurt"
"Sparda-Bank","Poststr. 28","48431","Rheine"
"Sparda-Bank","Neustr. 2","48599","Gronau"
"Sparda-Bank","Marienstr. 18","49808","Lingen"
"Sparda-Bank","Lange Str. 3","49661","Cloppenburg"
"SB-Sparda-Bank","Schullendamm 63","49716","Meppen"
"SB-Sparda-Bank","Sant-Ambrogio-Ring 33","55276","Oppenheim"
"Sparda-Bank","Augustinerstr. 2","55232","Alzey"
"SB-Sparda-Bank","Bahnhofstr. 3","55268","Nieder-Olm"
"SB-Sparda-Bank","Robert-Koch-Str. 45","55129","Mainz"
"SB-Sparda-Bank","Friedrich-Ebert-Str. 63","55286","Wörrstadt"
"SB-Sparda-Bank","Rheinstr. 4","55116","Mainz-Altstadt"
"Sparda-Bank","Emmeransstr. 21","55116","Mainz"
"Sparda-Bank","Rhabanusstr. 1","55118","Mainz"
"SB-Sparda-Bank","Hindemithstr. 13","55127","Mainz"
"Sparda-Bank","Breite Str. 42","55124","Mainz"
"Sparda-Bank","Binger Str. 38","55218","Ingelheim am Rhein"
"Sparda-Bank","Salinenstr. 39","55543","Bad Kreuznach"
"SB-Sparda-Bank","Salzstr. 1","55411","Bingen"
"Sparda-Bank","Benediktusgarten 1","55411","Bingerbrück"
"Sparda-Bank","Bahnhofstr. 7","56355","Nastätten"
"Sparda-Bank","Hauptstr. 299-301","55743","Idar-Oberstein"
"Sparda-Bank","Hindenburgstr. 2","57072","Siegen"
"SB-Sparda-Bank","Bahnhofstr. 11","57223","Kreuztal"
"Sparda-Bank","Am Rathaus 3","57368","Lennestadt-Altenhundem"
"Sparda-Bank West eG","Dieringhauser Str. 2","51645","Gummersbach Dieringhausen"
"Sparda-Bank West eG","Heussallee 12-14","53113","Bonn Gronau"
"Sparda-Bank West eG","Mühlenstr. 58","53721","Siegburg"
"Sparda-Bank West eG","Wesselstr. 2","53113","Bonn Zentrum"
"Immobilienfinanzcenter Sparda- Bank West eG","Rochusstr. 118-120","53123","Bonn Duisdorf"
"Sparda-Bank","Clemens-August-Str. 3","59821","Arnsberg"
"Sparda-Bank West eG","Friedrichstr. 1","58507","Lüdenscheid"
"Sparda-Bank","Bahnhofstr. 27-29","53879","Euskirchen"
"Sparda-Bank","Ernst-Mühlendyck-Str. 1","51143","Köln"
"SB-Center Der Sparda-Bank West eG","Refrather Weg 1","51465","Bergisch Gladbach"
"Sparda-Bank West eG","Johann-Wilhelm-Lindlarstr. 10","51465","Bergisch-Gladbach Mitte"
