X,Y,OBJECTID,EVA_NR,DS100,IFOPT,NAME,VERKEHR,LAENGE,BREITE,STATUS
7.549981999655228,51.484436999983693,1071,8001524,EDAU,de:05913:39,Dortmund-Aplerbeck Süd,RV,7.549982,51.484437,
7.380212999947028,51.548334000010868,1072,8001525,EDOF,de:05913:497,Dortmund-Westerfilde,RV,7.380213,51.548334,
7.583838999657116,51.526219000136464,1073,8001526,EDAM,de:05913:642,Dortmund-Asseln Mitte,RV,7.583839,51.526219,
7.431298000062248,51.476953999944762,1074,8001527,EDBA,de:05913:53,Dortmund-Barop,RV,7.431298,51.476954,
7.327476999645855,51.51903599977112,1075,8001528,EDBH,de:05913:697,Dortmund-Bövinghausen,RV,7.327477,51.519036,
7.550082999937551,51.520756999844608,1076,8001529,EDBK,de:05913:647,Dortmund-Brackel,RV,7.550083,51.520757,
7.52882199988145,51.567716000193478,1077,8001530,EDD,de:05913:114,Dortmund-Derne,RV,7.528822,51.567716,
7.412863000176989,51.519289999941485,1078,8001531,EDOL,de:05913:741,Dortmund-Wischlingen,RV,7.412863,51.51929,
7.415095000145972,51.533667000170048,1079,8001532,EDHU,de:05913:830,Dortmund-Huckarde Nord,RV,7.415095,51.533667,
7.510104999963895,51.547075000235516,1080,8001533,EDKD,de:05913:274,Dortmund-Kirchderne,RV,7.510105,51.547075,
7.457763999672938,51.464241000198371,1081,8001534,EDKH,de:05913:277,Dortmund-Kirchhörde,RV,7.457764,51.464241,
7.515369999792984,51.51343000017232,1082,8001535,EDKO,de:05913:672,Dortmund-Körne,RV,7.51537,51.51343,
7.415528999615944,51.458331999764205,1083,8001536,EDKR,de:05913:294,Dortmund-Kruckel,RV,7.415529,51.458332,
7.585290999651458,51.556978999927097,1084,8001537,EDKU,de:05913:298,Dortmund-Kurl,RV,7.585291,51.556979,
7.447228000167013,51.451655000000905,1085,8001538,EDLH,de:05913:700,Dortmund-Löttringhausen,RV,7.447228,51.451655,
7.342400999820141,51.50852299997576,1086,8001539,EDLN,de:05913:698,Dortmund-Lütgendortmund Nord,RV,7.342401,51.508523,
7.363727999998456,51.498123999914966,1087,8001540,EDGM,de:05913:327,Dortmund-Germania,RV,7.363728,51.498124,
7.374408000342766,51.514462000209896,1088,8001541,EDMR,de:05913:337,Dortmund-Marten,RV,7.374408,51.514462,
7.387478999766416,51.50798399981749,1089,8001542,EDMS,de:05913:341,Dortmund-Marten Süd,RV,7.387479,51.507984,
7.374374000007591,51.570345000257738,1090,8001543,EDMG,de:05913:343,Dortmund-Mengede,RV,7.374374,51.570345,
7.395251999749039,51.52572800024253,1091,8001544,EDRA,de:05913:390,Dortmund-Rahm,RV,7.395252,51.525728,
7.589204999768531,51.495460000153656,1092,8001545,EDSO,de:05913:441,Dortmund-Sölde,RV,7.589205,51.49546,
7.624660000252953,51.533929999761568,1093,8001546,EDWI,de:05913:507,Dortmund-Wickede,RV,7.62466,51.53393,
8.575801000319402,53.688743000170142,1094,8001547,ADO,de:03352:21303,Dorum(Weserm),nur DPN,8.575801,53.688743,
10.52257300004446,49.547496000267891,1095,8001548,NDM,de:09575:14240,Dottenheim,RV,10.522573,49.547496,
7.350084000289359,51.496009999847111,1096,8001549,EDSM,de:05913:1181,Dortmund-Somborn,RV,7.350084,51.49601,
8.708692999686068,49.998467999817315,1097,8001554,FDCH,de:06438:2704,Dreieich-Dreieichenhain,RV,8.708693,49.998468,
6.152515000018163,51.045683000076359,1098,8001557,KDRN,de:05370:3438,Heinsberg-Dremmen,RV,6.152515,51.045683,
7.733609000231063,51.799157999881324,1099,8001558,EDRS,de:05570:64230,Drensteinfurt,nur DPN,7.733609,51.799158,
8.871102999688437,53.018425000132495,1100,8001561,HDRY,de:03251:21583,Dreye,RV,8.871103,53.018425,
7.103496000251019,50.98481500013375,1101,8001566,KDUK,de:05378:31202,Duckterath,RV,7.103496,50.984815,
8.884481999982006,50.010661000210021,1102,8001567,FDU,de:06438:4643,Rodgau-Dudenhofen,RV,8.884482,50.010661,
7.027350999590351,49.277299000257877,1103,8001570,SDUW,de:10041:8001570,Dudweiler,RV,7.027351,49.277299,
6.337930000148994,51.257149000211335,1104,8001571,KDUL,de:05166:22229,Dülken,RV,6.33793,51.257149,
8.648180999927567,49.023951999822138,1105,8001576,RDBG,de:08215:1548,Dürrenbüchig,RV,8.648181,49.023952,
11.736607000172748,47.993953999723679,1106,8001578,MDHR,de:09184:2250,Dürrnhaar,RV,11.736607,47.993954,
6.788989999994378,51.212115000233837,1107,8001579,KDFS,de:05111:18785,Düsseldorf Friedrichstadt,RV,6.78899,51.212115,
6.766979000100835,51.278517000187719,1108,8001580,KDF,de:05111:18517,Düsseldorf Flughafen Terminal,FV,6.766979,51.278517,
6.791977999648616,51.210138000203621,1109,8001581,KDV,de:05111:18006,Düsseldorf Volksgarten,RV,6.791978,51.210138,
6.798173000138513,51.22844699975019,1110,8001582,KDW,de:05111:18019,Düsseldorf Wehrhahn,RV,6.798173,51.228447,
6.796923999635459,51.236961999902775,1111,8001583,KDZ,de:05111:18012,Düsseldorf-Zoo,RV,6.796924,51.236962,
6.878930999801784,51.162292999889964,1112,8001584,KDBE,de:05111:18263,Düsseldorf-Benrath,RV,6.878931,51.162293,
6.775578000088867,51.207993999933151,1113,8001585,"KDBH,KDBI",de:05111:18249,Düsseldorf-Bilk,RV,6.775578,51.207994,
6.794511999741407,51.24762400010308,1114,8001586,"KDD,KDDH",de:05111:18285,Düsseldorf-Derendorf,RV,6.794512,51.247624,
6.851927000065726,51.202670000123028,1115,8001587,KDE,de:05111:18743,Düsseldorf-Eller,RV,6.851927,51.20267,
6.836128000380518,51.198071999947295,1116,8001588,KDES,de:05111:18570,Düsseldorf-Eller Süd,RV,6.836128,51.198072,
6.89767500038183,51.143626000017292,1117,8001589,KDGA,de:05111:18576,Düsseldorf-Garath,RV,6.897675,51.143626,
