"plz","intensivkliniken","land","krs"
86830,1,"BY",9772
87439,1,"BY",9763
87509,1,"BY",9780
88131,1,"BY",9776
88161,1,"BY",9776
88239,1,"BW",8436
88339,1,"BW",8436
88400,1,"BW",8426
89081,2,"BW",8421
89143,1,"BW",8425
89312,1,"BY",9774
89407,1,"BY",9773
89522,1,"BW",8135
89584,1,"BW",8425
90419,1,"BY",9564
90471,1,"BY",9564
90592,1,"BY",9574
91126,1,"BY",9576
91126,1,"BY",9565
91413,2,"BY",9575
91522,1,"BY",9561
91564,1,"BY",9571
92237,1,"BY",9371
92318,1,"BY",9373
92526,1,"BY",9376
93049,1,"BY",9362
93053,2,"BY",9362
93086,1,"BY",9375
93133,1,"BY",9376
93413,1,"BY",9372
94032,2,"BY",9262
94327,1,"BY",9278
95213,1,"BY",9475
95445,1,"BY",9462
96215,1,"BY",9478
96450,1,"BY",9463
97074,1,"BY",9663
97080,2,"BY",9663
97318,1,"BY",9675
97421,1,"BY",9662
97422,1,"BY",9662
97616,1,"BY",9673
97877,1,"BW",8128
97980,1,"BW",8128
98527,1,"TH",16054
99089,1,"TH",16051
99097,1,"TH",16051
99444,1,"TH",16071
99768,1,"TH",16062
