X,Y,OBJECTID,INDEX_NO,REGION_NO,PORT_NAME,COUNTRY,LATITUDE,LONGITUDE,LAT_DEG,LAT_MIN,LAT_HEMI,LONG_DEG,LONG_MIN,LONG_HEMI,PUB,CHART,HARBORSIZE,HARBORTYPE,SHELTER,ENTRY_TIDE,ENTRYSWELL,ENTRY_ICE,ENTRYOTHER,OVERHD_LIM,CHAN_DEPTH,ANCH_DEPTH,CARGODEPTH,OIL_DEPTH,TIDE_RANGE,MAX_VESSEL,HOLDGROUND,TURN_BASIN,PORTOFENTR,US_REP,ETAMESSAGE,PILOT_REQD,PILOTAVAIL,LOC_ASSIST,PILOTADVSD,TUGSALVAGE,TUG_ASSIST,PRATIQUE,SSCC_CERT,QUAR_OTHER,COMM_PHONE,COMM_FAX,COMM_RADIO,COMM_VHF,COMM_AIR,COMM_RAIL,CARGOWHARF,CARGO_ANCH,CARGMDMOOR,CARBCHMOOR,CARICEMOOR,MED_FACIL,GARBAGE,DEGAUSS,DRTYBALLST,CRANEFIXED,CRANEMOBIL,CRANEFLOAT,LIFT_100_,LIFT50_100,LIFT_25_49,LIFT_0_24,LONGSHORE,ELECTRICAL,SERV_STEAM,NAV_EQUIP,ELECREPAIR,PROVISIONS,WATER,FUEL_OIL,DIESEL,DECKSUPPLY,ENG_SUPPLY,REPAIRCODE,DRYDOCK,RAILWAY
-70.233333333504788,11.63333333296386,2302,12050,11950,PUNTA CARDON,VE,11.633333,-70.233333,11,38,N,70,14,W,148,24471,S,OR,P,N, ,N, ,N, ,E,L,B,0,L,Y,Y, ,Y,Y,Y,Y, , , ,Y,Y, ,Y, , ,Y,Y,Y, ,Y, , , , ,Y, , ,Y, , , , , , , ,Y, , , , ,Y,Y,Y,Y,N,N,D, , 
-70.233333333504788,11.749999999680297,2303,12070,11950,AMUAY (BAHIA DE AMUAY),VE,11.75,-70.233333,11,45,N,70,14,W,148,24471,S,OR,F,N,N,N,Y,N,J,M, ,H,0,L,Y,Y,Y,N,Y,Y,Y, , , ,Y,Y, ,Y, , ,Y,Y,Y, ,Y, , , , ,Y, , ,Y, ,Y,Y, ,Y,Y, , , , ,Y,Y,Y,Y,Y,Y, , ,D, , 
-69.34999999987852,11.483333333290055,2304,12090,11950,PUERTO CUMAREBO,VE,11.483333,-69.35,11,29,N,69,21,W,148,24460,V,OR,P,N,N,N,N,N, ,J,K,M,1,M,Y,Y, , ,Y,Y,Y, , , ,N,Y, ,Y, , ,Y,Y,Y, , ,Y,Y, , , , , , , , , , , , , ,Y, , , , , ,Y,Y, , , , , , 
-68.116666666949783,10.483333333263719,2305,12115,11950,EL PALITO,VE,10.483333,-68.116667,10,29,N,68,7,W,148,24453,V,OR,F,N,Y,N,N,Y,H,A, ,G,0,L, ,Y,Y,N,Y,Y,Y,Y,Y, ,Y, ,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y, , , , , ,Y, , , , , , , ,Y,Y, ,Y,Y,Y,N,Y,Y,N,N,D, ,S
-67.999999999617302,10.483333333263719,2306,12120,11950,PUERTO CABELLO,VE,10.483333,-68,10,29,N,68,0,W,148,24454,M,CN,E,N,N,N,Y,N,K,J,H,K,0,L,Y,Y,Y,N,Y,Y,Y,Y,Y, ,Y,Y, ,Y,Y,Y,Y, ,Y,Y,Y, , , , ,Y,Y, ,Y, ,Y,Y,Y,Y,Y, ,Y,N,Y,Y, ,Y,Y,Y, , , ,C,M,S
-66.933333333664706,10.61666666686102,2307,12150,11950,LA GUAIRA,VE,10.616667,-66.933333,10,37,N,66,56,W,148,24452,S,CB,G,Y,Y,N,Y,N,L,C,J, ,1,M,Y,Y,Y,Y,Y,Y,Y, , , ,Y,Y, ,Y,Y,Y,Y, ,Y, ,Y, , , , ,Y, , ,Y,Y,Y,N,Y, ,Y, ,Y, ,N, , ,Y,Y,Y,Y, ,Y,C, , 
-64.583333333343063,10.249999999588702,2308,12200,11950,GUANTA,VE,10.25,-64.583333,10,15,N,64,35,W,148,24435,S,OR,G,N,N,N,Y,N,J,A,M, ,0,L,Y,Y,Y,N,Y,Y, , , , ,Y,Y, ,Y, , ,Y,Y,Y, ,Y, , , , ,Y,N, ,Y, ,Y, ,Y, ,Y,Y,Y, , , , ,Y,Y,Y, , , ,C, , 
-64.566666667094609,10.233333333730448,2309,12210,11950,BAHIA DE PERTIGALETE,VE,10.233333,-64.566667,10,14,N,64,34,W,148,24435,S,CN,F,N,N,N,Y,N,H,H,J,G,0,M,Y,Y, , ,Y,Y,Y, , , ,Y,Y, ,Y, , ,Y,Y, ,Y, , , , , ,Y,Y, ,N, , , , , , , ,Y, , , , , ,Y,Y, , , ,C, , 
-63.250000000228589,10.700000000350785,2310,12260,11950,CARUPANO,VE,10.7,-63.25,10,42,N,63,15,W,148,24430,V,CB,F,N,Y,N,Y,N,L,L,B, ,2,M,Y,Y,Y,Y,Y,Y,Y, , , ,Y,Y, ,Y, , ,Y,Y,Y, ,Y, ,Y, , ,Y, , , , ,Y, , , , ,Y,Y, , , , , ,Y, , , , ,C, , 
-62.299999999811853,10.566666666336767,2311,12270,11950,GUIRIA,VE,10.566667,-62.3,10,34,N,62,18,W,148,24404,V,CB,F,N,N,N,N,N,N,K,N, ,2,M,Y, ,Y, ,Y,Y,Y, , , ,N,Y, , ,Y, ,Y,Y,Y, ,Y, , , , ,Y, , ,N, ,Y, , , ,Y,Y, , , , , ,Y,Y,Y, , , ,C, ,M
